kind,epoch,batch,total,value,policy,samples
batch,143,1,14175.228516,1287.224487,12888.003906,3
epoch,143,0,14175.228516,1287.224487,12888.003906,3
batch,144,1,16145.921875,8.615857,16137.305664,2
epoch,144,0,16145.921875,8.615857,16137.305664,2
batch,145,1,14851.752930,593.870422,14257.882812,3
epoch,145,0,14851.752930,593.870422,14257.882812,3
batch,146,1,12752.854492,1205.865845,11546.988281,3
epoch,146,0,12752.854492,1205.865845,11546.988281,3
batch,147,1,11077.448242,1287.189087,9790.258789,3
epoch,147,0,11077.448242,1287.189087,9790.258789,3
batch,148,1,12206.919922,391.229156,11815.690430,3
epoch,148,0,12206.919922,391.229156,11815.690430,3
batch,149,1,18315.810547,1127.353271,17188.457031,3
epoch,149,0,18315.810547,1127.353271,17188.457031,3
batch,150,1,14665.239258,8.691127,14656.547852,2
epoch,150,0,14665.239258,8.691127,14656.547852,2
batch,151,1,21107.050781,798.358582,20308.691406,5
epoch,151,0,21107.050781,798.358582,20308.691406,5
batch,152,1,16124.022461,782.676086,15341.346680,5
epoch,152,0,16124.022461,782.676086,15341.346680,5
batch,153,1,17422.416016,1287.103882,16135.312500,3
epoch,153,0,17422.416016,1287.103882,16135.312500,3
batch,154,1,12745.213867,1205.747681,11539.465820,3
epoch,154,0,12745.213867,1205.747681,11539.465820,3
batch,155,1,13115.677734,1287.128418,11828.549805,3
epoch,155,0,13115.677734,1287.128418,11828.549805,3
batch,156,1,16255.415039,1286.988037,14968.426758,3
epoch,156,0,16255.415039,1286.988037,14968.426758,3
batch,157,1,11987.473633,305.899872,11681.574219,3
epoch,157,0,11987.473633,305.899872,11681.574219,3
batch,158,1,16008.831055,780.914673,15227.916016,5
epoch,158,0,16008.831055,780.914673,15227.916016,5
batch,159,1,50253.082031,8.744870,50244.335938,2
epoch,159,0,50253.082031,8.744870,50244.335938,2
batch,160,1,12760.170898,1287.142822,11473.028320,3
epoch,160,0,12760.170898,1287.142822,11473.028320,3
batch,161,1,18484.306641,1287.156128,17197.150391,3
epoch,161,0,18484.306641,1287.156128,17197.150391,3
batch,162,1,18840.214844,1287.147827,17553.066406,3
epoch,162,0,18840.214844,1287.147827,17553.066406,3
batch,163,1,23700.033203,831.371765,22868.662109,5
epoch,163,0,23700.033203,831.371765,22868.662109,5
batch,164,1,14759.050781,686.073730,14072.976562,5
epoch,164,0,14759.050781,686.073730,14072.976562,5
batch,165,1,39275.773438,8.828485,39266.945312,2
epoch,165,0,39275.773438,8.828485,39266.945312,2
batch,166,1,12244.156250,1287.137451,10957.018555,3
epoch,166,0,12244.156250,1287.137451,10957.018555,3
batch,167,1,12239.808594,1205.924561,11033.883789,3
epoch,167,0,12239.808594,1205.924561,11033.883789,3
batch,168,1,16266.827148,1287.306396,14979.520508,3
epoch,168,0,16266.827148,1287.306396,14979.520508,3
batch,169,1,15005.067383,8.666425,14996.401367,2
epoch,169,0,15005.067383,8.666425,14996.401367,2
batch,170,1,18863.609375,167.091461,18696.517578,3
epoch,170,0,18863.609375,167.091461,18696.517578,3
batch,171,1,19958.828125,805.900574,19152.927734,5
epoch,171,0,19958.828125,805.900574,19152.927734,5
batch,172,1,11133.833008,391.054474,10742.778320,3
epoch,172,0,11133.833008,391.054474,10742.778320,3
batch,173,1,14723.173828,1287.181152,13435.992188,3
epoch,173,0,14723.173828,1287.181152,13435.992188,3
batch,174,1,20995.654297,648.667480,20346.986328,5
epoch,174,0,20995.654297,648.667480,20346.986328,5
batch,175,1,13255.681641,1287.158325,11968.523438,3
epoch,175,0,13255.681641,1287.158325,11968.523438,3
batch,176,1,18013.683594,10.625833,18003.058594,5
epoch,176,0,18013.683594,10.625833,18003.058594,5
batch,177,1,16809.226562,780.358765,16028.867188,5
epoch,177,0,16809.226562,780.358765,16028.867188,5
batch,178,1,14370.346680,8.631144,14361.715820,2
epoch,178,0,14370.346680,8.631144,14361.715820,2
batch,179,1,11502.852539,1287.079712,10215.772461,3
epoch,179,0,11502.852539,1287.079712,10215.772461,3
batch,180,1,12844.089844,1287.090454,11556.999023,3
epoch,180,0,12844.089844,1287.090454,11556.999023,3
batch,181,1,12636.299805,1051.083740,11585.215820,3
epoch,181,0,12636.299805,1051.083740,11585.215820,3
batch,182,1,12388.110352,5.769384,12382.340820,3
epoch,182,0,12388.110352,5.769384,12382.340820,3
batch,183,1,17297.775391,267.186737,17030.587891,3
epoch,183,0,17297.775391,267.186737,17030.587891,3
batch,184,1,9815.620117,267.144775,9548.475586,3
epoch,184,0,9815.620117,267.144775,9548.475586,3
batch,185,1,28734.683594,1287.135010,27447.548828,3
epoch,185,0,28734.683594,1287.135010,27447.548828,3
batch,186,1,15442.721680,1287.166016,14155.555664,3
epoch,186,0,15442.721680,1287.166016,14155.555664,3
batch,187,1,16647.859375,228.258316,16419.601562,3
epoch,187,0,16647.859375,228.258316,16419.601562,3
batch,188,1,22067.445312,683.480835,21383.964844,5
epoch,188,0,22067.445312,683.480835,21383.964844,5
batch,189,1,12396.046875,1287.242920,11108.803711,3
epoch,189,0,12396.046875,1287.242920,11108.803711,3
batch,190,1,13607.650391,1287.319702,12320.331055,3
epoch,190,0,13607.650391,1287.319702,12320.331055,3
batch,191,1,16055.235352,1287.199829,14768.035156,3
epoch,191,0,16055.235352,1287.199829,14768.035156,3
batch,192,1,18168.648438,17.763624,18150.884766,3
epoch,192,0,18168.648438,17.763624,18150.884766,3
batch,193,1,15050.392578,1287.567383,13762.825195,3
epoch,193,0,15050.392578,1287.567383,13762.825195,3
batch,194,1,15644.768555,1287.146729,14357.622070,3
